329000, 71682.05, 24667.45, 17000
330000, 71794.25, 25556.95, 11000
331000, 72122.65, 25452.75, 14000
332000, 72236.85, 25665.95, 16000
333000, 72378.05, 25904.95, 16000
334000, 72646.45, 25094.35, 13000
335000, 73439.90, 25496.30, 8000
336000, 74454.15, 27897.05, 16000
337000, 72800.70, 25436.50, 19000
338000, 72976.50, 24407.15, 14000
339000, 74312.55, 25795.45, 11000
340000, 74190.30, 26042.40, 14000
341000, 74210.80, 26840.90, 15000
342000, 75089.35, 25766.80, 10000
343000, 74968.65, 26455.60, 17000
344000, 75374.00, 26966.10, 15000
345000, 76340.10, 26796.05, 7000
346000, 75039.50, 26367.75, 19000
347000, 76193.30, 26724.70, 11000
348000, 76111.50, 25514.90, 20000
349000, 75504.75, 25726.15, 12000
350000, 76652.15, 26415.55, 12000
351000, 76524.25, 27505.85, 10000
352000, 76051.55, 27073.55, 12000
353000, 77015.80, 26898.60, 18000
354000, 78062.55, 28100.65, 20000
355000, 77493.05, 27585.75, 20000
356000, 78371.20, 26474.75, 10000
357000, 77828.10, 27367.00, 13000
358000, 77837.90, 26931.85, 11000
359000, 78537.35, 27269.45, 12000
360000, 79937.65, 27840.05, 11000
361000, 78791.20, 28177.75, 15000
362000, 79919.90, 27914.95, 13000
363000, 79455.80, 28515.10, 10000
364000, 79932.95, 28319.00, 10000
365000, 79705.25, 26292.30, 20000
366000, 81484.20, 28516.40, 11000
367000, 80713.20, 27175.45, 12000
368000, 80457.85, 27135.70, 8000
369000, 81049.10, 28319.65, 12000
370000, 80641.70, 26654.20, 15000
371000, 81364.90, 28762.10, 11000
372000, 82670.70, 28747.00, 13000
373000, 81503.35, 28919.15, 15000
374000, 82347.40, 27304.90, 14000
375000, 81750.35, 28778.95, 15000
376000, 82725.70, 28016.85, 8000
377000, 82849.25, 29891.55, 12000
378000, 83404.10, 29059.60, 14000
379000, 83648.65, 29330.90, 16000
380000, 83296.95, 28755.50, 13000
381000, 84725.30, 30032.60, 9000
382000, 84095.55, 28535.90, 21000
383000, 83358.60, 29030.75, 24000
384000, 84892.50, 31961.60, 14000
385000, 84546.40, 27676.55, 14000
386000, 85091.25, 28223.20, 10000
387000, 85585.00, 28480.15, 14000
388000, 85793.50, 31859.90, 10000
389000, 87260.20, 29901.25, 14000
390000, 86602.55, 30460.90, 16000
391000, 86356.15, 29185.25, 13000
392000, 87175.90, 32208.80, 10000
393000, 86670.80, 28856.10, 10000
394000, 86531.70, 30030.20, 18000
395000, 86465.80, 30357.25, 13000
396000, 87172.35, 30432.65, 18000
397000, 87288.40, 29303.35, 13000
398000, 88035.45, 29420.10, 15000
399000, 88640.45, 30731.50, 10000
400000, 88352.00, 30230.80, 13000
401000, 87801.30, 29238.55, 13000
402000, 88730.85, 31254.25, 22000
403000, 90130.75, 30767.55, 11000
404000, 88448.10, 29612.35, 17000
405000, 89279.40, 29657.80, 12000
406000, 88913.60, 29922.60, 14000
407000, 91061.90, 32029.10, 10000
408000, 91403.15, 33920.40, 10000
409000, 90367.95, 30715.55, 13000
410000, 90347.35, 30246.65, 15000
411000, 90746.90, 30741.15, 13000
412000, 91820.00, 31441.00, 11000
413000, 91246.15, 30371.20, 10000
414000, 90552.40, 29628.50, 16000
415000, 91392.20, 31397.65, 17000
416000, 92095.00, 31713.60, 16000
417000, 92872.50, 31822.70, 12000
418000, 92539.75, 31360.90, 20000
419000, 92147.20, 31205.05, 12000
420000, 93045.95, 33174.20, 11000
421000, 93117.40, 30648.80, 9000
422000, 93343.85, 32415.05, 21000
423000, 93570.45, 31413.15, 13000
424000, 94607.15, 32251.75, 10000
425000, 94518.05, 33546.30, 11000
426000, 94366.75, 33253.25, 16000
427000, 94539.95, 32607.65, 13000
428000, 94421.00, 31636.80, 13000
429000, 94195.65, 30828.65, 16000
430000, 95049.25, 33589.65, 13000
431000, 95694.95, 33092.40, 17000
432000, 97253.35, 33368.30, 14000
433000, 96968.80, 32128.05, 8000
434000, 96526.80, 33915.15, 14000
435000, 97070.55, 32324.85, 12000
436000, 97197.65, 32793.45, 12000
437000, 96034.10, 31326.10, 15000
438000, 97323.50, 34075.85, 17000
439000, 97826.20, 33880.80, 17000
440000, 97854.50, 31217.45, 12000
441000, 98223.80, 34432.10, 11000
442000, 98564.65, 34626.00, 16000
443000, 97526.90, 33436.35, 15000
444000, 100927.85, 34315.30, 9000
445000, 99600.20, 33057.50, 11000
446000, 100983.45, 33993.45, 9000
447000, 99067.45, 33230.95, 13000
448000, 100166.40, 35566.75, 11000
449000, 98840.00, 33452.15, 17000
450000, 99420.00, 34717.45, 19000
451000, 99523.35, 34201.50, 11000
452000, 100787.25, 35444.50, 11000
453000, 101180.25, 34574.55, 10000
454000, 100894.55, 34511.65, 16000
455000, 101987.90, 34956.65, 13000
456000, 101990.05, 34542.00, 18000
457000, 101669.90, 34936.35, 10000
458000, 101030.40, 34463.30, 12000
459000, 102831.70, 34835.55, 16000
460000, 102579.40, 33294.55, 12000
461000, 102375.00, 35781.25, 19000
462000, 106493.45, 40270.15, 10000
463000, 104219.25, 37381.10, 14000
464000, 104096.00, 35029.85, 13000
465000, 105352.10, 37207.05, 12000
466000, 103803.60, 35450.05, 14000
467000, 103561.25, 36511.85, 18000
468000, 104081.30, 35120.15, 17000
469000, 103729.00, 34111.25, 17000
470000, 104067.20, 35499.15, 20000
471000, 104545.55, 35609.10, 16000
472000, 106834.15, 34312.20, 12000
473000, 105285.40, 35712.60, 12000
474000, 105372.75, 35849.40, 17000
475000, 106118.30, 34975.85, 17000
476000, 106420.20, 35505.65, 13000
477000, 106316.60, 36121.50, 14000
478000, 108184.95, 35445.25, 13000
479000, 106180.35, 35877.05, 23000
480000, 108256.80, 37821.20, 12000
481000, 108374.10, 35972.60, 10000
482000, 107770.00, 36493.25, 20000
483000, 107501.60, 34459.15, 16000
484000, 107881.50, 35343.10, 13000
485000, 107704.60, 37575.70, 19000
486000, 109557.85, 39894.25, 14000
487000, 108327.75, 36274.30, 19000
488000, 108399.10, 36633.25, 13000
489000, 111529.65, 39917.55, 10000
490000, 109353.50, 36075.45, 17000
491000, 110101.60, 37663.20, 14000
492000, 110588.80, 37636.65, 18000
493000, 110294.95, 37916.15, 27000
494000, 110829.25, 38482.75, 21000
495000, 112585.10, 37338.90, 16000
496000, 111271.70, 38093.10, 18000
497000, 111110.20, 36604.25, 16000
498000, 109838.35, 37835.95, 22000
499000, 111685.00, 38645.40, 15000
500000, 111958.10, 38927.45, 18000
501000, 112358.25, 36677.35, 10000
502000, 112078.15, 38749.05, 20000
503000, 115132.60, 39521.35, 15000
504000, 112968.20, 37054.35, 22000
505000, 112005.90, 37564.50, 17000
506000, 112648.35, 36864.10, 14000
507000, 114780.10, 39327.00, 19000
508000, 113616.70, 39393.45, 15000
509000, 114151.20, 37037.10, 20000
510000, 114422.75, 38766.25, 22000
511000, 114640.75, 37812.75, 12000
512000, 114093.85, 36457.15, 12000
513000, 115178.50, 39045.05, 16000
514000, 115191.15, 39127.30, 20000
515000, 115008.35, 39472.35, 17000
516000, 115338.05, 39784.05, 19000
517000, 115549.50, 37217.70, 13000
518000, 116565.10, 39530.25, 15000
519000, 117217.45, 38023.80, 17000
520000, 116526.75, 39113.30, 22000
521000, 116472.65, 38635.90, 17000
522000, 116658.40, 39914.55, 13000
523000, 115935.25, 39398.80, 15000
524000, 118120.75, 38751.65, 10000
525000, 117449.05, 37989.90, 19000
526000, 119346.80, 42449.80, 11000
527000, 119295.10, 42064.55, 25000
528000, 118517.75, 39951.40, 18000
529000, 118673.60, 40946.65, 25000
530000, 119443.45, 38595.85, 9000
531000, 121876.00, 43348.75, 10000
532000, 118863.05, 38615.20, 15000
533000, 120220.85, 40231.30, 14000
534000, 119871.55, 40015.10, 13000
535000, 119168.80, 38364.75, 19000
536000, 122042.95, 39956.60, 25000
537000, 120620.30, 39538.30, 21000
538000, 122887.35, 42993.00, 17000
539000, 120682.65, 39435.60, 19000
540000, 120827.15, 41105.15, 19000
541000, 122171.90, 41698.80, 14000
542000, 122346.45, 42882.20, 10000
543000, 122319.10, 41107.35, 18000
544000, 121743.60, 40347.05, 12000
545000, 122353.40, 41517.20, 27000
546000, 122247.75, 41413.00, 22000
547000, 122596.65, 40228.40, 20000
548000, 125471.30, 43449.90, 13000
549000, 122959.05, 39573.15, 17000
550000, 124291.75, 40159.65, 14000
551000, 124727.70, 41899.55, 18000
552000, 124790.60, 42085.10, 23000
553000, 124006.15, 41598.25, 18000
554000, 124285.35, 41607.70, 17000
555000, 124705.20, 40933.45, 8000
556000, 126668.50, 45635.15, 16000
557000, 124602.60, 40531.75, 18000
558000, 125593.70, 41522.15, 14000
559000, 125904.30, 40560.20, 17000
560000, 127989.10, 43428.85, 21000
561000, 126635.00, 39639.35, 16000
562000, 126683.45, 42092.95, 16000
563000, 125755.25, 43063.70, 24000
564000, 128410.70, 42453.15, 11000
565000, 126407.70, 42576.25, 17000
566000, 126874.95, 42447.25, 14000
567000, 126720.00, 41084.55, 12000
568000, 127914.10, 42652.85, 13000
569000, 127725.60, 42748.25, 21000
570000, 128428.50, 43076.60, 11000
571000, 129607.80, 44720.20, 11000
572000, 129692.60, 41812.90, 16000
573000, 130334.90, 44673.65, 13000
574000, 129340.80, 42756.85, 16000
575000, 129622.05, 44318.25, 22000
576000, 131942.55, 43984.00, 13000
577000, 130716.60, 44983.85, 16000
578000, 131091.35, 42696.20, 17000
579000, 130457.15, 43240.10, 15000
580000, 132684.90, 45245.60, 11000
581000, 131015.20, 43349.15, 15000
582000, 132931.65, 47469.10, 20000
583000, 132947.30, 44141.35, 14000
584000, 131373.50, 42311.85, 12000
585000, 133916.30, 47188.40, 13000
586000, 132299.35, 44010.75, 25000
587000, 135665.70, 44050.85, 12000
